Rating,Note ID,Investment Amount,Term,Purchase Date,Payment Due Date,Payments Received,Principal Outstanding,Yield,Status,Sub Status
"AA",2281440-216,$25.000000,2 Years,2024-10-21,2025-02-17,$3.366075,$22.119375,8.0100000%,current,
"AA",2279507-210,$25.000000,3 Years,2024-10-21,2025-02-17,$2.288750,$23.141475,7.0000000%,current,
"AA",2279504-197,$25.000000,3 Years,2024-10-21,2025-02-17,$2.288750,$23.141475,7.0000000%,current,
"AA",2284606-187,$25.000000,2 Years,2024-10-18,2025-02-16,$3.331133,$22.092350,6.9900000%,current,
"AA",2280636-180,$25.000000,5 Years,2024-10-18,2025-02-16,$25.337655,$0.000000,7.0100000%,paid,
"AA",2280618-356,$25.000000,5 Years,2024-10-18,2025-02-16,$1.519550,$24.020300,8.6800000%,current,
"AA",2278712-116,$25.000000,2 Years,2024-10-18,2025-02-16,$3.331476,$22.092598,7.0000000%,current,
"AA",2278706-132,$25.000000,4 Years,2024-10-18,2025-02-16,$2.684295,$22.774853,8.1000000%,current,
"AA",2278703-364,$25.000000,3 Years,2024-10-18,2025-02-16,$2.288750,$23.141453,7.0000000%,current,
"AA",2283169-271,$25.000000,5 Years,2024-10-17,2025-02-15,$4.014042,$21.788583,14.0000000%,current,
"AA",2283166-326,$25.000000,3 Years,2024-10-17,2025-02-15,$2.361362,$23.197125,9.0800000%,current,
"A",2277425-126,$25.000000,4 Years,2024-10-17,2025-02-15,$1.867688,$23.737031,9.7600000%,current,
"AA",2282782-411,$25.000000,2 Years,2024-10-16,2025-02-11,$3.332500,$22.084400,7.0000000%,current,
"AA",2282776-164,$25.000000,4 Years,2024-10-16,2025-02-11,$1.830532,$23.710187,8.7300000%,current,
"AA",2277050-227,$25.000000,4 Years,2024-10-16,2025-02-11,$1.825157,$23.706224,8.5800000%,current,
"AA",2277047-346,$25.000000,5 Years,2024-10-16,2025-02-11,$1.663707,$23.885190,9.0800000%,current,
"AA",2277044-183,$25.000000,5 Years,2024-10-16,2025-02-11,$1.710157,$24.143375,13.7000000%,current,
"AA",2282503-183,$25.000000,3 Years,2024-10-15,2024-12-10,$25.153333,$0.000000,8.6100000%,paid,
"AA",2278011-233,$25.000000,2 Years,2024-10-11,2025-02-20,$3.862450,$21.596667,7.0000000%,current,
"AA",2278005-196,$25.000000,3 Years,2024-10-11,2025-02-09,$2.296306,$23.139000,7.0000000%,current,
"AA",2281471-88,$25.000000,3 Years,2024-10-10,2025-02-08,$2.288813,$23.141375,7.0000000%,current,
"AA",2279800-143,$25.000000,2 Years,2024-10-08,2025-02-04,$3.331474,$22.092605,7.0000000%,current,
"AA",2274266-126,$25.000000,3 Years,2024-10-08,2025-02-04,$2.288807,$23.141385,7.0000000%,current,
"AA",2274263-59,$25.000000,3 Years,2024-10-08,2025-02-04,$2.593400,$22.911650,8.6100000%,current,
"AA",2278750-317,$25.000000,3 Years,2024-10-04,2025-02-02,$3.073300,$22.349383,7.0000000%,current,
"A",2272982-305,$25.000000,3 Years,2024-10-04,2025-02-02,$2.418803,$23.239708,10.7000000%,current,
"AA",2277334-285,$25.000000,3 Years,2024-10-02,2025-01-30,$2.298109,$23.142654,7.2500000%,current,
"AA",2273469-376,$25.000000,3 Years,2024-10-02,2025-01-30,$2.298100,$23.142633,7.2500000%,current,
"AA",2271200-639,$25.000000,3 Years,2024-10-01,2025-01-27,$2.354267,$23.184667,8.8600000%,current,
"AA",2276434-457,$25.000000,3 Years,2024-09-30,2025-01-26,$2.354284,$23.184659,8.8600000%,current,
"AA",2272392-194,$25.000000,3 Years,2024-09-30,2025-01-26,$2.363450,$23.191350,9.1300000%,current,
"AA",2270477-120,$25.000000,5 Years,2024-09-30,2025-01-26,$13.398474,$12.069883,8.2500000%,current,
"A",2275699-600,$25.000000,5 Years,2024-09-27,2025-02-25,$1.616256,$24.076357,11.2500000%,current,
"AA",2275678-223,$25.000000,3 Years,2024-09-27,2025-02-25,$2.289425,$23.136100,7.0000000%,current,
"AA",2271216-227,$25.000000,3 Years,2024-09-26,2025-02-24,$2.486025,$23.278375,12.5500000%,current,
"A",2270163-609,$25.000000,3 Years,2024-09-24,2025-02-20,$3.317676,$22.698912,12.6000000%,current,
"AA",2268251-313,$25.000000,5 Years,2024-09-24,2025-02-20,$2.030501,$23.686221,8.7500000%,current,
"AA",2268248-127,$25.000000,3 Years,2024-09-24,2025-02-20,$3.053275,$22.509788,7.0000000%,current,
"AA",2273359-127,$25.000000,4 Years,2024-09-23,2025-02-19,$2.701472,$23.441028,14.0000000%,current,
"AA",2269674-167,$25.000000,3 Years,2024-09-23,2025-02-19,$3.053206,$22.509853,7.0000000%,current,
"AA",2269011-184,$25.000000,3 Years,2024-09-20,2025-02-18,$3.053142,$22.509929,7.0000000%,current,
"AA",2272282-738,$25.000000,2 Years,2024-09-19,2025-02-17,$4.443599,$21.106356,6.9900000%,current,
"AA",2268489-232,$25.000000,5 Years,2024-09-19,2025-02-17,$1.983368,$23.652753,7.7800000%,current,
"AA",2271106-249,$25.000000,3 Years,2024-09-17,2025-02-13,$3.053250,$22.509833,7.0000000%,current,
"A",2267388-182,$25.000000,3 Years,2024-09-17,2025-02-13,$3.467099,$22.797556,15.6500000%,current,
"AA",2265416-193,$25.000000,3 Years,2024-09-17,2025-02-13,$3.081475,$22.635175,8.5000000%,current,
"AA",2270473-94,$25.000000,3 Years,2024-09-16,2025-02-12,$12.374900,$13.265350,9.6100000%,current,
"AA",2266737-179,$25.000000,3 Years,2024-09-16,2025-02-12,$3.056875,$22.480125,7.0000000%,current,
"AA",2265071-106,$25.000000,3 Years,2024-09-16,2025-02-12,$3.163125,$22.590750,9.3600000%,current,
"AA",2270155-450,$25.000000,5 Years,2024-09-13,2025-02-15,$2.068222,$23.735042,9.4800000%,current,
"AA",2266209-210,$25.000000,3 Years,2024-09-13,2025-02-11,$3.053175,$22.509900,7.0000000%,current,
"AA",2266200-204,$25.000000,3 Years,2024-09-13,2025-02-11,$3.087833,$22.535778,7.7500000%,current,
"AA",2265669-453,$25.000000,3 Years,2024-09-12,2025-02-10,$3.064756,$22.518489,7.2500000%,current,
"AA",2265666-311,$25.000000,3 Years,2024-09-12,2025-02-10,$3.064745,$22.518491,7.2500000%,current,
"AA",2263832-574,$25.000000,3 Years,2024-09-12,2025-01-17,$25.460564,$0.000000,7.2500000%,paid,
"AA",2262929-446,$25.000000,3 Years,2024-09-11,2025-02-09,$3.094894,$22.458753,7.2500000%,current,
"AA",2264418-506,$25.000000,3 Years,2024-09-10,2025-02-06,$3.053202,$22.509865,7.0000000%,current,
"AA",2267857-335,$25.000000,4 Years,2024-09-09,2025-02-05,$2.862567,$22.705167,7.0400000%,current,
"AA",2267569-229,$25.000000,2 Years,2024-09-09,2025-02-05,$4.443560,$21.106400,6.9900000%,current,
"AA",2263632-187,$25.000000,4 Years,2024-09-09,2025-02-07,$2.402466,$23.253191,7.9300000%,current,
"AA",2263140-221,$25.000000,3 Years,2024-09-06,2025-02-04,$25.530214,$0.000000,7.7500000%,paid,
"A",2261201-123,$25.000000,5 Years,2024-09-06,2025-02-04,$2.116376,$23.742833,10.4800000%,current,
"AA",2261123-202,$25.000000,3 Years,2024-09-06,2025-02-04,$3.053180,$22.509900,7.0000000%,current,
"AA",2262447-376,$25.000000,2 Years,2024-09-05,2025-02-03,$4.519267,$21.030142,6.9900000%,current,
"A",2264992-458,$25.000000,3 Years,2024-08-30,2025-01-28,$3.315227,$22.697880,12.5500000%,current,
"A",2260956-323,$25.000000,4 Years,2024-08-30,2025-01-28,$2.500187,$23.309696,9.9400000%,current,
"AA",2263816-235,$25.000000,3 Years,2024-08-29,2025-01-27,$3.123205,$22.562295,8.5100000%,current,
"AA",2263813-210,$25.000000,3 Years,2024-08-29,2025-01-27,$3.053119,$22.510214,7.0000000%,current,
"AA",2259990-135,$25.000000,5 Years,2024-08-29,2025-02-01,$2.031029,$23.722717,8.8300000%,current,
"AA",2259987-86,$25.000000,3 Years,2024-08-29,2025-01-27,$3.976111,$21.729111,8.9000000%,current,
"AA",2258036-233,$25.000000,2 Years,2024-08-29,2025-01-27,$25.408884,$0.000000,6.9900000%,paid,
"AA",2262019-548,$25.000000,5 Years,2024-08-26,2025-01-22,$25.897432,$0.000000,14.0000000%,paid,
"AA",2258364-56,$25.000000,4 Years,2024-08-26,2025-02-22,$3.377288,$23.044498,14.0000000%,current,
"AA",2257953-413,$25.000000,5 Years,2024-08-23,2025-01-21,$26.009100,$0.000000,9.8800000%,paid,
"AA",2257950-189,$25.000000,2 Years,2024-08-23,2024-12-21,$3.400625,$22.145650,9.0100000%,late,late_31_to_60
"AA",2261152-101,$25.000000,2 Years,2024-08-22,2025-02-20,$5.556784,$20.119903,7.0000000%,current,
"AA",2261137-153,$25.000000,5 Years,2024-08-22,2025-02-20,$2.871354,$23.562458,14.0000000%,current,
"AA",2257461-273,$25.000000,3 Years,2024-08-22,2025-02-20,$11.456900,$14.171250,8.9000000%,current,
"AA",2259928-110,$25.000000,3 Years,2024-08-19,2025-02-15,$3.875300,$21.922050,8.0000000%,current,
"A",2255682-94,$25.000000,5 Years,2024-08-19,2025-02-15,$11.949000,$14.052875,9.4000000%,current,
"AA",2255664-118,$25.000000,3 Years,2024-08-19,2025-02-15,$3.881050,$21.926350,8.1000000%,current,
"AA",2253335-254,$25.000000,3 Years,2024-08-19,2025-02-15,$3.817519,$21.879687,7.0000000%,current,
"AA",2255454-147,$25.000000,3 Years,2024-08-16,2025-02-14,$4.014291,$21.880042,9.0100000%,current,
"AA",2252699-185,$25.000000,2 Years,2024-08-15,2025-02-13,$5.556225,$20.119475,6.9900000%,current,
"AA",2257741-145,$25.000000,3 Years,2024-08-14,2025-02-09,$3.875264,$21.922233,8.0000000%,current,
"AA",2257546-155,$25.000000,3 Years,2024-08-14,2025-02-12,$6.246567,$19.923749,12.0000000%,current,
"AA",2254563-203,$25.000000,2 Years,2024-08-14,2024-12-08,$25.633745,$0.000000,8.5100000%,paid,
"AA",2251919-179,$25.000000,3 Years,2024-08-14,2025-02-12,$3.846333,$21.900917,7.5000000%,current,
"A",2251763-366,$25.000000,3 Years,2024-08-14,2025-02-23,$3.229361,$22.638417,10.7600000%,current,
"AA",2251760-515,$25.000000,3 Years,2024-08-14,2025-02-12,$3.846320,$21.900950,7.5000000%,current,
"AA",2257381-135,$25.000000,3 Years,2024-08-13,2025-02-09,$3.883423,$21.928038,8.1400000%,current,
"AA",2256079-323,$25.000000,4 Years,2024-08-09,2025-02-14,$4.248828,$21.790312,10.0900000%,current,
"AA",2256076-344,$25.000000,3 Years,2024-08-09,2025-02-07,$3.875328,$21.922047,8.0000000%,current,
"AA",2252994-112,$25.000000,5 Years,2024-08-09,2025-02-07,$2.564955,$23.372227,9.1800000%,current,
"AA",2252664-206,$25.000000,5 Years,2024-08-09,2025-02-07,$2.534200,$23.351641,8.6800000%,current,
"AA",2250686-148,$25.000000,3 Years,2024-08-09,2025-02-07,$3.999562,$22.010719,10.1200000%,current,
"AA",2251956-271,$25.000000,4 Years,2024-08-08,2025-02-06,$3.122129,$22.878419,9.8800000%,current,
"AA",2251953-384,$25.000000,5 Years,2024-08-08,2025-02-06,$25.031097,$1.037104,14.0000000%,current,
"AA",2251947-294,$25.000000,3 Years,2024-08-08,2025-02-06,$3.940146,$21.968625,9.1100000%,current,
"AA",2253934-303,$25.000000,5 Years,2024-08-05,2025-02-01,$2.608187,$23.400938,9.8800000%,current,
"AA",2250534-164,$25.000000,4 Years,2024-08-05,2025-02-01,$3.009501,$22.799562,8.0000000%,current,
"A",2250276-195,$25.000000,4 Years,2024-08-02,2025-02-14,$3.193000,$23.051250,11.2000000%,current,
"AA",2252578-120,$25.000000,3 Years,2024-08-01,2025-01-26,$3.142714,$22.617750,9.0100000%,current,
"AA",2247116-446,$25.000000,3 Years,2024-08-01,2024-09-30,$25.154275,$0.000000,9.0100000%,paid,
"A",2246942-562,$25.000000,3 Years,2024-08-01,2025-02-23,$4.122145,$22.296894,12.4100000%,current,
"AA",2248533-185,$25.000000,3 Years,2024-07-31,2025-01-29,$3.875306,$21.922444,8.0000000%,current,
"AA",2246432-118,$25.000000,3 Years,2024-07-31,2025-01-29,$4.003158,$22.013553,10.1800000%,current,
